Metaphors;Psychotherapy;Podcasts;Subtitles
1;0.006364801715081203;0.0005619443273727095;0.00016055552210648844
2;0.00667527984752419;0.005458887751620607;0.0002408332831597327
3;0.012574364363940913;0.0007224998494791981;0.002408332831597327
4; 0.0013195320628826884;0.0003211110442129769;0.0005619443273727095
5;0.0010866734635504494;0.0002408332831597327;0.0006422220884259538
6;0.0014747711291041813;0.0003211110442129769;0.0010436108936921749
7;0.0045795524535340365;0.0007224998494791981;0.0007224998494791981
8;0.00279430319198687;0.001123888654745419;0.0004816665663194654
9;0.0009314343973289566;0.0005619443273727095;0.0005619443273727095
10;0.0019404883277686596;0.00016055552210648844;0.0005619443273727095
11;0.0031047813244298554;0.0003211110442129769;0.0004816665663194654
12;0.0014747711291041813;0.0005619443273727095;0.0004816665663194654
13;0.0010866734635504494;0.0004816665663194654;0.0004816665663194654
14;0.0022509664602116453;0.002167499548437594;0.0
15;0.0048124110528662755;0.0004013888052662211;0.0016055552210648843
16;0.001785249261547167;0.0006422220884259538;0.0
17;0.0008538148642182102;0.00016055552210648844;0.0003211110442129769
18;0.0012419125297719422;0.0004816665663194654;0.0
19;0.0072962361124101595;0.0020872217873843498;8.027776105324422e-05
20;0.001009053930439703;0.0005619443273727095;0.0005619443273727095
21; 0.0012419125297719422;0.0015252774600116403;0.0002408332831597327
