Metaphors;Psychotherapy;Podcasts;Subtitles
My mind goes;0.006364801715081203;0.0005619443273727095;0.00014101625621299997
Maze; 0.0013195320628826884;0.00016055552210648844;0.00028203251242599995
Jumping to;0.0010866734635504494; 0.0002408332831597327;0.0005640650248519999
I’m lost;0.0014747711291041813;0.0003211110442129769;0.0007050812810649999
I’m stuck;0.0045795524535340365;0.0004013888052662211;0.00028203251242599995
Pathway;0.00279430319198687;0.0004013888052662211;0.00028203251242599995
Obstacle;0.0009314343973289566; 0.0005619443273727095;7.050812810649999e-05
Going in circles;0.0019404883277686596;8.027776105324422e-05;0.00035254064053249996
Mapping;0.0031047813244298554;0.00016055552210648844;0.000423048768639
Exploration;0.0014747711291041813;0.0005619443273727095;0.0002115243843195
New territory;0.0010866734635504494;0.0; 0.00014101625621299997
Mental Space;0.0022509664602116453; 0.002167499548437594;0.0
Dead end;0.0048124110528662755;8.027776105324422e-05; 0.000846097537278
Trajectory;0.001785249261547167;0.0006422220884259538;0.0
Crossroads;0.0008538148642182102;0.00016055552210648844;0.00028203251242599995
Bypass, detour;0.0012419125297719422;0.0004816665663194654;0.0
To the root;0.001009053930439703;0.0005619443273727095;0.0004935568967454999
Dark place; 0.0012419125297719422;0.0015252774600116403;0.0002115243843195
